img,a1,a2,a3,e1,e2,t1,t2,t3,m11,m12,m13,m21,m22,m23,m31,m32,m33,q1,q2,q3,q4
000000.bmp,66.231607,46.989551,47.635276,0.380729,0.374380,113.021924,116.269407,124.318188,0.758959,0.301783,-0.576982,0.371930,-0.928253,0.003725,-0.534461,-0.217424,-0.816748,0.935943,0.179956,-0.296878,-0.059071
000001.bmp,40.006624,37.325164,70.992199,0.598586,0.787224,139.439483,95.286249,124.888683,0.954642,0.212865,-0.208199,-0.268109,0.310363,-0.912027,-0.129522,0.926479,0.353356,0.568094,-0.024311,-0.148620,0.809068
000002.bmp,65.756374,56.372319,68.261536,0.264364,0.895020,119.860799,104.758302,147.971662,-0.155939,-0.319329,0.934726,-0.383444,0.891661,0.240648,-0.910304,-0.320888,-0.261489,-0.231241,0.759784,-0.026402,0.607090
000003.bmp,51.821689,32.541876,60.709346,0.921892,0.438087,98.760140,93.458331,118.619742,-0.341190,-0.755127,-0.559797,0.931934,-0.349559,-0.096472,-0.122834,-0.554609,0.822995,-0.215276,-0.205326,0.792740,0.532035
000004.bmp,28.720156,58.857106,57.329294,0.265063,0.516370,114.626079,149.595647,151.056040,0.685188,-0.727810,-0.028472,0.441399,0.446009,-0.778616,0.579383,0.520931,0.626854,-0.391256,0.183008,-0.352015,-0.830369
000005.bmp,63.809008,73.904664,73.755067,0.273685,0.919373,109.640090,143.569490,131.797087,0.296941,-0.652921,-0.696793,0.901379,0.432513,-0.021155,0.315185,-0.621793,0.716960,0.192007,0.323501,-0.496867,-0.782051
000006.bmp,58.329788,42.187927,59.836336,0.105190,0.244220,160.489971,146.071360,151.031173,-0.529739,0.517264,0.672171,0.540917,0.816459,-0.202002,-0.653288,0.256580,-0.712307,-0.302535,-0.874429,-0.015604,-0.378950
000007.bmp,35.825341,50.488887,40.111750,0.902972,0.213206,124.200838,89.667920,147.547261,-0.086653,0.915829,-0.392107,-0.943502,0.050916,0.327431,0.319835,0.398326,0.859675,0.026247,-0.263578,-0.688370,0.675266
000008.bmp,43.300848,69.762939,68.686004,0.581540,0.442663,102.845248,115.999215,101.900788,-0.227228,0.213126,-0.950234,0.568777,0.821081,0.048148,0.790481,-0.529531,-0.307794,-0.254698,-0.767480,0.156806,0.567023
000009.bmp,65.865949,43.135313,37.553873,0.955961,0.675321,142.838790,143.599948,165.769424,0.894396,0.032895,-0.446065,0.442972,-0.203183,0.873208,-0.061909,-0.978588,-0.196297,-0.757277,-0.157098,0.167697,0.611334
